business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,inspection_id,inspection_date,inspection_result,inspection_type,violation_id,violation_description,violation_critical
19536,"KEMP MILL BEER,WINES & DELI",1339 LAMBERTON DR,SILVER SPRING,MD,20902,39.041,-77.0315,"(39.041, -77.0315)",19536_2016-06-01,06/01/2016 12:00:00 AM,PASS,initial,19536_2016-06-01_HotandColdRunningWaterProvided(C),Standard not met: Hot and Cold Running Water Provided (C),true
18121,WOODSIDE DELI,13048 MIDDLEBROOK RD.,GERMANTOWN,MD,20874,39.1818,-77.27,"(39.1818, -77.27)",18121_2016-06-01,06/01/2016 12:00:00 AM,PASS,followup,18121_2016-06-01_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
325,BOSTON MARKET #1031,5290 RANDOLPH RD.,ROCKVILLE,MD,20852,39.0532,-77.1045,"(39.0532, -77.1045)",325_2016-06-02,06/02/2016 12:00:00 AM,PASS,routine,325_2016-06-02_ProperHandWashing(C),Standard not met: Proper Hand Washing (C),true
20144,LIFE CAFE,1151 SEVEN LOCKS RD,ROCKVILLE,MD,20854,39.0628,-77.1583,"(39.0628, -77.1583)",20144_2016-06-02,06/02/2016 12:00:00 AM,PASS,routine,20144_2016-06-02_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
29391,DOMINO'S  # 4693,4817 ST. ELMO AVE,BETHESDA,MD,20814,38.9896,-77.0971,"(38.9896, -77.0971)",29391_2016-04-22,04/22/2016 12:00:00 AM,PASS,initial,,,
594,COL. E. BROOKE LEE MIDDLE,11800 MONTICELLO AVE.,SILVER SPRING,MD,20902,39.0496,-77.0306,"(39.0496, -77.0306)",594_2016-06-02,06/02/2016 12:00:00 AM,PASS,routine,,,
29565,DAVIDS TEA,7101 DEMOCRACY BLVD,BETHESDA,MD,20817,39.0241,-77146300,"(39.0241, -7.71463E+7)",29565_2016-06-10,06/10/2016 12:00:00 AM,PASS,initial,,,
942,FOOD LION #1345,16567 S. FREDERICK RD.,GAITHERSBURG,MD,20877,39.1278,-77.1835,"(39.1278, -77.1835)",942_2016-06-01,06/01/2016 12:00:00 AM,PASS,routine,942_2016-06-01_RodentandInsects,Standard not met: Rodent and Insects,false
29793,BOOEYMONGER,4600 EAST WEST HWY,BETHESDA,MD,20814,38.9845,-77.0929,"(38.9845, -77.0929)",29793_2016-06-08,06/08/2016 12:00:00 AM,PASS,routine,,,
1310,JERRY'S SUB SHOP,8647 16TH ST.,SILVER SPRING,MD,20910,38.9989,-77.0389,"(38.9989, -77.0389)",1310_2016-07-25,07/25/2016 12:00:00 AM,PASS,routine,1310_2016-07-25_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
1578,MARSHALLS #209,12051 ROCKVILLE PK.,ROCKVILLE,MD,20852,39.0557,-77.1163,"(39.0557, -77.1163)",1578_2017-02-01,02/01/2017 12:00:00 AM,PASS,routine,,,
20320,GOLDEN CITY,7026 WISCONSIN AVE,CHEVY CHASE,MD,20815,38.9796,-77.0922,"(38.9796, -77.0922)",20320_2016-05-31,05/31/2016 12:00:00 AM,PASS,routine,20320_2016-05-31_FoodProtectedfromContamination(C),Standard not met: Food Protected from Contamination (C),true
28743,INTERNATIONAL FOOD WAREHOUSE,18777 N FREDERICK AVE,GAITHERSBURG,MD,20879,39.1657,-77.226,"(39.1657, -77.226)",28743_2016-02-02,02/02/2016 12:00:00 AM,PASS,routine,,,
23959,STARVIN MARVINS,211- C. N. FREDERICK AVE,GAITHERSBURG,MD,20877,39.1444,-77.2016,"(39.1444, -77.2016)",23959_2016-04-20,04/20/2016 12:00:00 AM,PASS,routine,23959_2016-04-20_RodentandInsects,Standard not met: Rodent and Insects,false
20202,WASHINGTON ADVENTIST UNIVERSITY,7600 FLOWER AVE.,TAKOMA PARK,MD,20912,38.9862,-77.0011,"(38.9862, -77.0011)",20202_2016-02-17,02/17/2016 12:00:00 AM,PASS,routine,,,
2291,SNIDERS SUPERMARKET,1936 SEMINARY RD.,SILVER SPRING,MD,20910,39.0092,-77.0417,"(39.0092, -77.0417)",2291_2016-02-04,02/04/2016 12:00:00 AM,PASS,routine,2291_2016-02-04_HotHoldingTemperature(C),Standard not met: Hot Holding Temperature (C),true
11344,BROOKDALE POTOMAC,11215 SEVEN LOCKS RD.,POTOMAC,MD,20854,39.0396,-77.1582,"(39.0396, -77.1582)",11344_2015-10-13,10/13/2015 12:00:00 AM,PASS,routine,11344_2015-10-13_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
1663,MILESTONE SHELL,21000 FREDERICK RD.,GERMANTOWN,MD,20786,39.2039,-77.246,"(39.2039, -77.246)",1663_2016-12-06,12/06/2016 12:00:00 AM,PASS,routine,1663_2016-12-06_HotHoldingTemperature(C),Standard not met: Hot Holding Temperature (C),true
196,BANNOCKBURN ELEMENTARY,6520 DALROY LN.,BETHESDA,MD,20817,38.9746,-77.1382,"(38.9746, -77.1382)",196_2015-04-21,04/21/2015 12:00:00 AM,PASS,routine,,,
29263,RUANG KHAO THAI CUISINE,939 BONIFANT ST,SILVER SPRING,MD,20910,38.9941,-77.0253,"(38.9941, -77.0253)",29263_2016-07-27,07/27/2016 12:00:00 AM,PASS,routine,29263_2016-07-27_FoodProtectedfromContamination(C),Standard not met: Food Protected from Contamination (C),true
26598,SWEETGREEN,8517 GEORGIA AVE,SILVER SPRING,MD,20910,38.9951,-77.0267,"(38.9951, -77.0267)",26598_2016-06-02,06/02/2016 12:00:00 AM,PASS,routine,,,
20767,SHERWOOD HIGH SCHOOL - FOOD LAB,300 OLNEY-SANDY SPRING RD.,SANDY SPRING,MD,20860,39.149,-77.0175,"(39.149, -77.0175)",20767_2015-09-18,09/18/2015 12:00:00 AM,PASS,routine,,,
20989,EUREST DINING SERVICES,5260 WESTERN AVE.,CHEVY CHASE,MD,20815,38.9609,-77.0903,"(38.9609, -77.0903)",20989_2016-09-27,09/27/2016 12:00:00 AM,PASS,routine,20989_2016-09-27_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
17345,CONCESSION TREATS @ RMSC,355 MARTINS LN.,ROCKVILLE,MD,20850,39.0909,-77.1605,"(39.0909, -77.1605)",17345_2015-05-19,05/19/2015 12:00:00 AM,PASS,initial,,,
29116,BARKING MAD CAFE,239 SPECTRUM AVE,GAITHERSBURG,MD,20879,39.16,-77.2222,"(39.16, -77.2222)",29116_2016-03-30,03/30/2016 12:00:00 AM,PASS,followup,,,
30003,DAVIDS TEA,22705 CLARKSBURG RD,CLARKSBURG,MD,20871,39.2296,-77.2863,"(39.2296, -77.2863)",30003_2017-02-02,02/02/2017 12:00:00 AM,PASS,routine,,,
29451,GREEN GROVE CAFE,9636 GUDELSKY DR,ROCKVILLE,MD,20850,39.0943,-77.2019,"(39.0943, -77.2019)",29451_2017-02-02,02/02/2017 12:00:00 AM,PASS,routine,29451_2017-02-02_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
589,CLUB DEMONSTRATION SERVICES,880 RUSSELL AVE.,GAITHERSBURG,MD,20879,39.1556,-77.2141,"(39.1556, -77.2141)",589_2016-03-24,03/24/2016 12:00:00 AM,PASS,routine,,,
23922,BETHESDA BLUES & JAZZ,7719 WISCONSIN AVENUE,BETHESDA,MD,20814,38.9873,-77.094,"(38.9873, -77.094)",23922_2016-02-29,02/29/2016 12:00:00 AM,PASS,routine,,,
29294,B-BOP-Q,7101 DEMOCRACY BLVD,BETHESDA,MD,20817,39.0241,-77.1463,"(39.0241, -77.1463)",29294_2016-02-19,02/19/2016 12:00:00 AM,PASS,routine,29294_2016-02-19_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
29941,BAUER PARK APARTMENTS,14635 BAUER DR,ROCKVILLE,MD,20853,39.0957,-77.1087,"(39.0957, -77.1087)",29941_2016-07-28,07/28/2016 12:00:00 AM,PASS,initial,,,
11188,EL ANDARIEGO RESTAURANT,5 OLNEY-SANDY SPRING RD.,ASHTON,MD,20861,39.1494,-77.0124,"(39.1494, -77.0124)",11188_2015-06-12,06/12/2015 12:00:00 AM,PASS,routine,11188_2015-06-12_RodentandInsects,Standard not met: Rodent and Insects,false
641,COUNTRY CUPBOARD,3750 HOWARD AVE.,KENSINGTON,MD,20895,39.0273,-77.0737,"(39.0273, -77.0737)",641_2016-11-23,11/23/2016 12:00:00 AM,PASS,routine,641_2016-11-23_TransFatBan,Standard not met: Trans Fat Ban,false
18978,CLARKSBURG HIGH SCHOOL,22500 WIMS ROAD,CLARKSBURG,MD,20871,39.2249,-77.2677,"(39.2249, -77.2677)",18978_2016-06-01,06/01/2016 12:00:00 AM,PASS,routine,,,
20433,TRAN DINH BEER WINE & DELI,20 D MONTGOMERY VILLAGE AVE,GAITHERSBURG,MD,20879,39.1555,-77.2087,"(39.1555, -77.2087)",20433_2016-02-24,02/24/2016 12:00:00 AM,PASS,routine,,,
28699,SUNRISE,7889 CESSNA AVE,GAITHERSBURG,MD,20879,39.1714,-77.1603,"(39.1714, -77.1603)",28699_2016-06-02,06/02/2016 12:00:00 AM,PASS,routine,,,
18611,HORNET'S NEST @ DAMASCUS HIGH SCHOOL,25921 RIDGE RD.,DAMASCUS,MD,20872,39.282,-77.2102,"(39.282, -77.2102)",18611_2015-04-15,04/15/2015 12:00:00 AM,PASS,routine,,,
18047,STARBUCKS COFFEE #08743,121 MARKET ST.,GAITHERSUBRG,MD,20878,39.1221,-77.2353,"(39.1221, -77.2353)",18047_2017-02-02,02/02/2017 12:00:00 AM,PASS,routine,18047_2017-02-02_No-SmokingSignPosted,Standard not met: No-Smoking Sign Posted,false
1324,JOHN T. BAKER MIDDLE SCHOOL,25400 OAK DR.,DAMASCUS,MD,20872,39.2741,-77.2188,"(39.2741, -77.2188)",1324_2016-05-24,05/24/2016 12:00:00 AM,PASS,routine,,,
713,DAMASCUS HIGH,25921 RIDGE RD.,DAMASCUS,MD,20872,39.282,-77.2102,"(39.282, -77.2102)",713_2015-11-24,11/24/2015 12:00:00 AM,PASS,routine,,,
22571,DESHI BAZAR,282 N. FREDERICK AVE.,GAITHERSBURG,MD,20877,39.1445,-77.2037,"(39.1445, -77.2037)",22571_2016-02-18,02/18/2016 12:00:00 AM,PASS,routine,22571_2016-02-18_HotandColdRunningWaterProvided(C),Standard not met: Hot and Cold Running Water Provided (C),true
1324,JOHN T. BAKER MIDDLE SCHOOL,25400 OAK DR.,DAMASCUS,MD,20872,39.2741,-77.2188,"(39.2741, -77.2188)",1324_2015-12-08,12/08/2015 12:00:00 AM,PASS,routine,,,
27406,WILDWOOD MANOR SWIMMING POOL ASSOCIATION,10235 HATHERLEIGH DR,BETHESDA,MD,20814,39.0249,-77.1162,"(39.0249, -77.1162)",27406_2016-06-02,06/02/2016 12:00:00 AM,PASS,initial,,,
1317,JIMMIE CONE,26420 RIDGE RD.,DAMASCUS,MD,20872,39.2898,-77.2051,"(39.2898, -77.2051)",1317_2015-04-10,04/10/2015 12:00:00 AM,PASS,routine,,,
