HDR,ROLLING SYSTEM DEMAND,
VD,2.02203E+13,37338
VD,2.02203E+13,37464
VD,2.02203E+13,37639
VD,2.02203E+13,37879
VD,2.02203E+13,37971
VD,2.02203E+13,38013
VD,2.02203E+13,38049
VD,2.02203E+13,38192
VD,2.02203E+13,38233
VD,2.02203E+13,38358
VD,2.02203E+13,38270
VD,2.02203E+13,38564
VD,2.02203E+13,38665
VD,2.02203E+13,38688
VD,2.02203E+13,38878
VD,2.02203E+13,38962
VD,2.02203E+13,39102
VD,2.02203E+13,39140
VD,2.02203E+13,39150
VD,2.02203E+13,39218
VD,2.02203E+13,39244
VD,2.02203E+13,39240
VD,2.02203E+13,39281
VD,2.02203E+13,39606
VD,2.02203E+13,39725
VD,2.02203E+13,39972
VD,2.02203E+13,40155
VD,2.02203E+13,40337
VD,2.02203E+13,40407
VD,2.02203E+13,40454
VD,2.02203E+13,40337
VD,2.02203E+13,40289
VD,2.02203E+13,40309
VD,2.02203E+13,40293
VD,2.02203E+13,40145
VD,2.02203E+13,40079
VD,2.02203E+13,40261
VD,2.02203E+13,40330
VD,2.02203E+13,40199
VD,2.02203E+13,40281
VD,2.02203E+13,40246
VD,2.02203E+13,40309
VD,2.02203E+13,40303
VD,2.02203E+13,40295
VD,2.02203E+13,40325
VD,2.02203E+13,40317
VD,2.02203E+13,40343
VD,2.02203E+13,40426
VD,2.02203E+13,40424
VD,2.02203E+13,40228
VD,2.02203E+13,40327
VD,2.02203E+13,40337
VD,2.02203E+13,40323
VD,2.02203E+13,40381
VD,2.02203E+13,40379
VD,2.02203E+13,40364
VD,2.02203E+13,40312
VD,2.02203E+13,40267
VD,2.02203E+13,40257
VD,2.02203E+13,40303
VD,2.02203E+13,40192
VD,2.02203E+13,40136
VD,2.02203E+13,40103
VD,2.02203E+13,39983
VD,2.02203E+13,39886
VD,2.02203E+13,39896
VD,2.02203E+13,39909
VD,2.02203E+13,39897
VD,2.02203E+13,39812
VD,2.02203E+13,39606
VD,2.02203E+13,39390
VD,2.02203E+13,39134
VD,2.02203E+13,39118
VD,2.02203E+13,39260
VD,2.02203E+13,39346
VD,2.02203E+13,39321
VD,2.02203E+13,39319
VD,2.02203E+13,39270
VD,2.02203E+13,39248
VD,2.02203E+13,39168
VD,2.02203E+13,38965
VD,2.02203E+13,38751
VD,2.02203E+13,38620
VD,2.02203E+13,38472
VD,2.02203E+13,38412
VD,2.02203E+13,38508
VD,2.02203E+13,38566
VD,2.02203E+13,38639
VD,2.02203E+13,38836
VD,2.02203E+13,39243
VD,2.02203E+13,39263
VD,2.02203E+13,39585
VD,2.02203E+13,39757
VD,2.02203E+13,39791
VD,2.02203E+13,39940
VD,2.02203E+13,40175
VD,2.02203E+13,40524
VD,2.02203E+13,40528
VD,2.02203E+13,40432
VD,2.02203E+13,40373
VD,2.02203E+13,40446
VD,2.02203E+13,40480
VD,2.02203E+13,40631
VD,2.02203E+13,40792
VD,2.02203E+13,40997
VD,2.02203E+13,41307
VD,2.02203E+13,41720
VD,2.02203E+13,42192
VD,2.02203E+13,42413
VD,2.02203E+13,42519
VD,2.02203E+13,42641
VD,2.02203E+13,42782
VD,2.02203E+13,42932
VD,2.02203E+13,42840
VD,2.02203E+13,42960
VD,2.02203E+13,43081
VD,2.02203E+13,43246
VD,2.02203E+13,43270
VD,2.02203E+13,43302
VD,2.02203E+13,43464
VD,2.02203E+13,43373
VD,2.02203E+13,43283
VD,2.02203E+13,43200
VD,2.02203E+13,43062
VD,2.02203E+13,42881
VD,2.02203E+13,42717
VD,2.02203E+13,42633
VD,2.02203E+13,42460
VD,2.02203E+13,42306
VD,2.02203E+13,42107
VD,2.02203E+13,41931
VD,2.02203E+13,41471
VD,2.02203E+13,41396
VD,2.02203E+13,41113
VD,2.02203E+13,40933
VD,2.02203E+13,40562
VD,2.02203E+13,40240
VD,2.02203E+13,40195
VD,2.02203E+13,40023
VD,2.02203E+13,39833
VD,2.02203E+13,39726
VD,2.02203E+13,39541
VD,2.02203E+13,39295
VD,2.02203E+13,39137
VD,2.02203E+13,38987
VD,2.02203E+13,38769
VD,2.02203E+13,38511
VD,2.02203E+13,38232
VD,2.02203E+13,37902
VD,2.02203E+13,37548
VD,2.02203E+13,37192
VD,2.02203E+13,36976
VD,2.02203E+13,36812
VD,2.02203E+13,36614
VD,2.02203E+13,36236
VD,2.02203E+13,36136
VD,2.02203E+13,35844
VD,2.02203E+13,35538
VD,2.02203E+13,35199
VD,2.02203E+13,34915
VD,2.02203E+13,34664
VD,2.02203E+13,34629
VD,2.02203E+13,34465
VD,2.02203E+13,33884
VD,2.02203E+13,33588
VD,2.02203E+13,33090
VD,2.02203E+13,32726
VD,2.02203E+13,32483
VD,2.02203E+13,32287
VD,2.02203E+13,32039
VD,2.02203E+13,31607
VD,2.02203E+13,31271
VD,2.02203E+13,31041
VD,2.02203E+13,30921
VD,2.02203E+13,30708
VD,2.02203E+13,30368
VD,2.02203E+13,30068
VD,2.02203E+13,29667
VD,2.02203E+13,29486
VD,2.02203E+13,29519
VD,2.02203E+13,29170
VD,2.02203E+13,28801
VD,2.02203E+13,28513
VD,2.02203E+13,28215
VD,2.02203E+13,28130
VD,2.02203E+13,28232
VD,2.02203E+13,28207
VD,2.02203E+13,28202
VD,2.02203E+13,28125
VD,2.02203E+13,27995
VD,2.02203E+13,27821
VD,2.02203E+13,27978
VD,2.02203E+13,28081
VD,2.02203E+13,28196
VD,2.02203E+13,28190
VD,2.02203E+13,28262
VD,2.02203E+13,28301
VD,2.02203E+13,28501
VD,2.02203E+13,28548
VD,2.02203E+13,28489
VD,2.02203E+13,28423
VD,2.02203E+13,28488
VD,2.02203E+13,28400
VD,2.02203E+13,28896
VD,2.02203E+13,28893
VD,2.02203E+13,28831
VD,2.02203E+13,28696
VD,2.02203E+13,28504
VD,2.02203E+13,28463
VD,2.02203E+13,28398
VD,2.02203E+13,28437
VD,2.02203E+13,28358
VD,2.02203E+13,28337
VD,2.02203E+13,28226
VD,2.02203E+13,27784
VD,2.02203E+13,27632
VD,2.02203E+13,27577
VD,2.02203E+13,27603
VD,2.02203E+13,27598
VD,2.02203E+13,27510
VD,2.02203E+13,27469
VD,2.02203E+13,27380
VD,2.02203E+13,27312
VD,2.02203E+13,27225
VD,2.02203E+13,27180
VD,2.02203E+13,27039
VD,2.02203E+13,26918
VD,2.02203E+13,26572
VD,2.02203E+13,26518
VD,2.02203E+13,26713
VD,2.02203E+13,26887
VD,2.02203E+13,26937
VD,2.02203E+13,26933
VD,2.02203E+13,27063
VD,2.02203E+13,27041
VD,2.02203E+13,26994
VD,2.02203E+13,27004
VD,2.02203E+13,26991
VD,2.02203E+13,26946
VD,2.02203E+13,26891
VD,2.02203E+13,27002
VD,2.02203E+13,26968
VD,2.02203E+13,26891
VD,2.02203E+13,26879
VD,2.02203E+13,26832
VD,2.02203E+13,26667
VD,2.02203E+13,26550
VD,2.02203E+13,26447
VD,2.02203E+13,26315
VD,2.02203E+13,26247
VD,2.02203E+13,26150
VD,2.02203E+13,26103
VD,2.02203E+13,26305
VD,2.02203E+13,26494
VD,2.02203E+13,26587
VD,2.02203E+13,26872
VD,2.02203E+13,26953
VD,2.02203E+13,27306
VD,2.02203E+13,27664
VD,2.02203E+13,27958
VD,2.02203E+13,28153
VD,2.02203E+13,28538
VD,2.02203E+13,28776
VD,2.02203E+13,29376
VD,2.02203E+13,30088
VD,2.02203E+13,30680
VD,2.02203E+13,31157
VD,2.02203E+13,31595
VD,2.02203E+13,31744
VD,2.02203E+13,32087
VD,2.02203E+13,32488
VD,2.02203E+13,32813
VD,2.02203E+13,33111
VD,2.02203E+13,33495
VD,2.02203E+13,33916
VD,2.02203E+13,34016
VD,2.02203E+13,34239
VD,2.02203E+13,34664
VD,2.02203E+13,34949
VD,2.02203E+13,35248
VD,2.02203E+13,35318
VD,2.02203E+13,35287
VD,2.02203E+13,35313
VD,2.02203E+13,35430
VD,2.02203E+13,35582
VD,2.02203E+13,35762
VD,2.02203E+13,35988
VD,2.02203E+13,36695
VD,2.02203E+13,37154
VD,2.02203E+13,37314
VD,2.02203E+13,37376
VD,2.02203E+13,37015
VD,2.02203E+13,37056
VD,2.02203E+13,37146
VD,2.02203E+13,37508
VD,2.02203E+13,37515
VD,2.02203E+13,37636
VD,2.02203E+13,37822
VD,2.02203E+13,37981
VD,2.02203E+13,38085
VD,2.02203E+13,38344
VD,2.02203E+13,38229
VD,2.02203E+13,38359
VD,2.02203E+13,38299
VD,2.02203E+13,38286
VD,2.02203E+13,38121
VD,2.02203E+13,38042
VD,2.02203E+13,37986
VD,2.02203E+13,38078
VD,2.02203E+13,38019
VD,2.02203E+13,37961
VD,2.02203E+13,38029
VD,2.02203E+13,38081
VD,2.02203E+13,38045
VD,2.02203E+13,38111
VD,2.02203E+13,38146
VD,2.02203E+13,38171
VD,2.02203E+13,38274
VD,2.02203E+13,38157
VD,2.02203E+13,38168
VD,2.02203E+13,38285
VD,2.02203E+13,38307
VD,2.02203E+13,38303
VD,2.02203E+13,38389
VD,2.02203E+13,38328
VD,2.02203E+13,38330
VD,2.02203E+13,38418
VD,2.02203E+13,38389
VD,2.02203E+13,38412
VD,2.02203E+13,38429
VD,2.02203E+13,38427
VD,2.02203E+13,38475
VD,2.02203E+13,38531
VD,2.02203E+13,38578
VD,2.02203E+13,38524
VD,2.02203E+13,38559
VD,2.02203E+13,38613
VD,2.02203E+13,38703
VD,2.02203E+13,38711
VD,2.02203E+13,38822
VD,2.02203E+13,38805
VD,2.02203E+13,38746
VD,2.02203E+13,38747
VD,2.02203E+13,38793
VD,2.02203E+13,38883
VD,2.02203E+13,38822
VD,2.02203E+13,38769
VD,2.02203E+13,38794
VD,2.02203E+13,38898
VD,2.02203E+13,38788
VD,2.02203E+13,38687
VD,2.02203E+13,38627
VD,2.02203E+13,38454
VD,2.02203E+13,38373
VD,2.02203E+13,38337
VD,2.02203E+13,38259
VD,2.02203E+13,38246
VD,2.02203E+13,38184
VD,2.02203E+13,38158
VD,2.02203E+13,38224
VD,2.02203E+13,38328
VD,2.02203E+13,38341
VD,2.02203E+13,38369
VD,2.02203E+13,38196
VD,2.02203E+13,37982
VD,2.02203E+13,37967
VD,2.02203E+13,37957
VD,2.02203E+13,37725
VD,2.02203E+13,37707
VD,2.02203E+13,37691
VD,2.02203E+13,37704
VD,2.02203E+13,37871
VD,2.02203E+13,37970
VD,2.02203E+13,37992
VD,2.02203E+13,37922
VD,2.02203E+13,37944
VD,2.02203E+13,37840
VD,2.02203E+13,37770
VD,2.02203E+13,37943
VD,2.02203E+13,38172
VD,2.02203E+13,38376
VD,2.02203E+13,38431
VD,2.02203E+13,38564
VD,2.02203E+13,38582
VD,2.02203E+13,38641
VD,2.02203E+13,38714
VD,2.02203E+13,38675
VD,2.02203E+13,38781
VD,2.02203E+13,38832
VD,2.02203E+13,38903
VD,2.02203E+13,39098
VD,2.02203E+13,39447
VD,2.02203E+13,39567
VD,2.02203E+13,39759
VD,2.02203E+13,39818
VD,2.02203E+13,40048
VD,2.02203E+13,40231
VD,2.02203E+13,40414
VD,2.02203E+13,40593
VD,2.02203E+13,40876
VD,2.02203E+13,40972
VD,2.02203E+13,41060
VD,2.02203E+13,41069
VD,2.02203E+13,41144
VD,2.02203E+13,41439
VD,2.02203E+13,41567
VD,2.02203E+13,41665
VD,2.02203E+13,41725
VD,2.02203E+13,41673
VD,2.02203E+13,41618
VD,2.02203E+13,41611
VD,2.02203E+13,41684
VD,2.02203E+13,41638
VD,2.02203E+13,41725
VD,2.02203E+13,41721
VD,2.02203E+13,41652
VD,2.02203E+13,41768
VD,2.02203E+13,41806
VD,2.02203E+13,41612
VD,2.02203E+13,41267
VD,2.02203E+13,41120
VD,2.02203E+13,40879
VD,2.02203E+13,40773
VD,2.02203E+13,40532
VD,2.02203E+13,40287
VD,2.02203E+13,40121
VD,2.02203E+13,40081
VD,2.02203E+13,39851
VD,2.02203E+13,39611
VD,2.02203E+13,39373
VD,2.02203E+13,39040
VD,2.02203E+13,38956
VD,2.02203E+13,38792
VD,2.02203E+13,38624
VD,2.02203E+13,38437
VD,2.02203E+13,38316
VD,2.02203E+13,38093
VD,2.02203E+13,37791
VD,2.02203E+13,37480
VD,2.02203E+13,37259
VD,2.02203E+13,37187
VD,2.02203E+13,37040
VD,2.02203E+13,36507
VD,2.02203E+13,36198
VD,2.02203E+13,35876
VD,2.02203E+13,35503
VD,2.02203E+13,35134
VD,2.02203E+13,34985
VD,2.02203E+13,34763
VD,2.02203E+13,34449
VD,2.02203E+13,34250
VD,2.02203E+13,33778
VD,2.02203E+13,33512
VD,2.02203E+13,33255
VD,2.02203E+13,33039
VD,2.02203E+13,32641
VD,2.02203E+13,32414
VD,2.02203E+13,32042
VD,2.02203E+13,31776
VD,2.02203E+13,31570
VD,2.02203E+13,31382
VD,2.02203E+13,31139
VD,2.02203E+13,30865
VD,2.02203E+13,30586
VD,2.02203E+13,30335
VD,2.02203E+13,30108
VD,2.02203E+13,29755
VD,2.02203E+13,29640
VD,2.02203E+13,29585
VD,2.02203E+13,29755
VD,2.02203E+13,29596
VD,2.02203E+13,29357
VD,2.02203E+13,29189
VD,2.02203E+13,29123
VD,2.02203E+13,29032
VD,2.02203E+13,28842
VD,2.02203E+13,28631
VD,2.02203E+13,28323
VD,2.02203E+13,28297
VD,2.02203E+13,28548
VD,2.02203E+13,28701
VD,2.02203E+13,28614
VD,2.02203E+13,28546
VD,2.02203E+13,28497
VD,2.02203E+13,28514
VD,2.02203E+13,28659
VD,2.02203E+13,28670
VD,2.02203E+13,28684
VD,2.02203E+13,28708
VD,2.02203E+13,28641
VD,2.02203E+13,28598
VD,2.02203E+13,28872
VD,2.02203E+13,28839
VD,2.02203E+13,28789
VD,2.02203E+13,28709
VD,2.02203E+13,28623
VD,2.02203E+13,28526
VD,2.02203E+13,28478
VD,2.02203E+13,28426
VD,2.02203E+13,28388
VD,2.02203E+13,28302
VD,2.02203E+13,28203
VD,2.02203E+13,28113
VD,2.02203E+13,27635
VD,2.02203E+13,27573
VD,2.02203E+13,27577
VD,2.02203E+13,27538
VD,2.02203E+13,27444
VD,2.02203E+13,27353
VD,2.02203E+13,27503
VD,2.02203E+13,27550
VD,2.02203E+13,27466
VD,2.02203E+13,27407
VD,2.02203E+13,27366
VD,2.02203E+13,27319
VD,2.02203E+13,27093
